sales,order_date,product,customer,country,employee,category
640.59,2000-01-06,Desktop Beta,Infinity Solutions,Egypt,Michael Davis,Computers
363.58,2000-01-07,USB Keyboard,Innovate Unlimited,Mexico,Sarah Moore,Computer Accessories
537.29,2000-01-07,Wireless Mouse,Elite Tech,Mexico,Joseph Taylor,Computer Accessories
474.77,2000-01-08,Men's Sneakers,Pinnacle Tech,USA,Patricia Brown,Footwear
588.38,2000-01-08,Wall Art,Ultra Tech,Nigeria,Robert Johnson,Home Decor
305.99,2000-01-08,Tablet Alpha,NextGen Innovators,Egypt,Joseph Taylor,Mobile Devices
635.13,2000-01-08,Science Fiction Novel,Infinity Solutions,France,Michael Davis,Books
588.67,2000-01-08,Tablet Alpha,Pinnacle Tech,Italy,John Smith,Mobile Devices
651.06,2000-01-08,Decorative Throw Pillow,SysTech Ltd.,Egypt,William Wilson,Home Decor
872.43,2000-01-08,Women's Sandals,SysTech Ltd.,Canada,Sarah Moore,Footwear
680.42,2000-01-08,LED Desk Lamp,Pioneer Tech,USA,William Wilson,Lighting
814.54,2000-01-08,Bluetooth Speaker,Tech Pioneers,Nigeria,John Smith,Audio Equipment
858,2000-01-08,Monitor 4K,Global Corp,Brazil,Patricia Brown,Monitors
2.64,2000-01-08,Decorative Throw Pillow,Global Corp,USA,Sandra Anderson,Home Decor
61.59,2000-01-08,Monitor 4K,Pinnacle Tech,Germany,Robert Johnson,Monitors
1.05,2000-01-09,Electric Guitar,Gadget Galaxy,South Africa,John Smith,Musical Instruments
763.45,2000-01-09,Acoustic Piano,Elite Tech,USA,William Wilson,Musical Instruments
96.59,2000-01-09,Solid State Drive,Pinnacle Tech,Japan,John Smith,Storage Devices
217.43,2000-01-09,Acoustic Piano,Innovate Unlimited,Italy,Joseph Taylor,Musical Instruments
222.98,2000-01-09,Sculpture,Elite Tech,South Africa,Joseph Taylor,Art
331.35,2000-01-09,Bluetooth Speaker,Pinnacle Tech,Japan,Sandra Anderson,Audio Equipment
427.58,2000-01-10,Smart Watch,SysTech Ltd.,Italy,Patricia Brown,Wearables
647.58,2000-01-10,Stainless Steel Water Bottle,Reboot IT,Spain,Joseph Taylor,Outdoor Gear
410.86,2000-01-10,Men's Sneakers,Pioneer Tech,South Korea,Robert Johnson,Footwear
572.98,2000-01-10,Landscape Painting,Innovate Unlimited,Nigeria,William Wilson,Art
943.92,2000-01-10,Wall Art,Tech Pioneers,Japan,Joseph Taylor,Home Decor
331.81,2000-01-10,Fitness Tracker,Tech Trends,South Africa,Laura Adams,Wearables
221.21,2000-01-10,Biography Book,Nebula Innovations,Mexico,Sandra Anderson,Books
959.03,2000-01-10,LED Desk Lamp,Global Corp,South Africa,Joseph Taylor,Lighting
156.72,2000-01-11,Wall Art,NextGen Innovators,China,Laura Adams,Home Decor
963.59,2000-01-11,Yoga Mat,Pinnacle Tech,Mexico,Sandra Anderson,Fitness Equipment
472.32,2000-01-12,Stainless Steel Water Bottle,Elite Tech,Mexico,Robert Johnson,Outdoor Gear
293.13,2000-01-12,Decorative Throw Pillow,Pinnacle Tech,South Africa,Michael Davis,Home Decor
137.11,2000-01-13,4K Television,Pioneer Tech,Japan,John Smith,Home Electronics
143.73,2000-01-13,Leather Office Chair,Tech Pioneers,France,Robert Johnson,Office Furniture
803.94,2000-01-13,Sculpture,Infinity Solutions,Spain,Linda Miller,Art
992.88,2000-01-13,Microwave Oven,Reboot IT,India,Sandra Anderson,Kitchen Appliances
261.06,2000-01-14,Wireless Mouse,Elite Tech,India,Sandra Anderson,Computer Accessories
141.62,2000-01-14,Hiking Boots,NextGen Innovators,Nigeria,Joseph Taylor,Outdoor Gear
710.39,2000-01-14,Air Purifier,SysTech Ltd.,France,Sarah Moore,Home Appliances
196.13,2000-01-14,Gaming Console,Infinity Solutions,Canada,Sandra Anderson,Video Games
684.08,2000-01-14,Wireless Mouse,Ultra Tech,Japan,Michael Davis,Computer Accessories
503.83,2000-01-14,Notebook Basic,Future Gadgets,Canada,Robert Johnson,Computers
909,2000-01-14,Smartphone Beta,Reboot IT,Japan,Linda Miller,Mobile Devices
708.8,2000-01-14,Ergonomic Desk,Pioneer Tech,India,John Smith,Office Furniture
83.25,2000-01-15,Acoustic Piano,Elite Tech,Germany,Joseph Taylor,Musical Instruments
686.97,2000-01-15,Camping Tent,Gadget Galaxy,Canada,William Wilson,Outdoor Gear
541.57,2000-01-16,Solid State Drive,Pioneer Tech,Italy,Laura Adams,Storage Devices
408.7,2000-01-16,Gaming Console,NextGen Innovators,Germany,Linda Miller,Video Games
823.27,2000-01-17,Pet Bed,Nebula Innovations,Egypt,Linda Miller,Pet Supplies
849.03,2000-01-17,Gaming Console,Future Gadgets,Italy,Patricia Brown,Video Games
220.67,2000-01-17,Smartphone Beta,Pioneer Tech,USA,Patricia Brown,Mobile Devices
91.5,2000-01-17,Smart Watch,Tech Trends,Kenya,Joseph Taylor,Wearables
964.27,2000-01-17,Gaming Console,Ultra Tech,China,Robert Johnson,Video Games
120.8,2000-01-17,Wall Art,Tech Pioneers,South Korea,Joseph Taylor,Home Decor
430.06,2000-01-17,Espresso Machine,Innovate Unlimited,China,Sarah Moore,Kitchen Appliances
829.14,2000-01-17,Notebook Professional,Gadget Galaxy,Brazil,Michael Davis,Computers
827.5,2000-01-17,LED Desk Lamp,Infinity Solutions,Germany,Patricia Brown,Lighting
788.76,2000-01-17,Sunglasses,Pinnacle Tech,Japan,Sandra Anderson,Fashion Accessories
662.94,2000-01-17,Science Fiction Novel,Innovate Unlimited,Spain,Joseph Taylor,Books
82.23,2000-01-18,Tablet Beta,SysTech Ltd.,Kenya,Robert Johnson,Mobile Devices
71.66,2000-01-18,Stainless Steel Water Bottle,Pioneer Tech,Kenya,William Wilson,Outdoor Gear
498.68,2000-01-18,Noise Cancelling Headphones,Gadget Galaxy,South Africa,Robert Johnson,Audio Equipment
973.97,2000-01-18,Sculpture,Infinity Solutions,Nigeria,Laura Adams,Art
866.25,2000-01-18,Air Purifier,Pinnacle Tech,South Africa,Joseph Taylor,Home Appliances
535.9,2000-01-18,Electric Guitar,Elite Tech,China,John Smith,Musical Instruments
952.52,2000-01-18,Wireless Mouse,Gadget Galaxy,USA,Sandra Anderson,Computer Accessories
909.71,2000-01-18,Leather Office Chair,Global Corp,Brazil,Patricia Brown,Office Furniture
366.11,2000-01-18,Gaming Console,Ultra Tech,Nigeria,Michael Davis,Video Games
621.49,2000-01-18,Smartphone Alpha,Nebula Innovations,Japan,Michael Davis,Mobile Devices
585.98,2000-01-18,Drone with Camera,Reboot IT,France,Laura Adams,Electronics
991.9,2000-01-18,Women's Sandals,Nebula Innovations,Nigeria,Joseph Taylor,Footwear
739.66,2000-01-18,Landscape Painting,Gadget Galaxy,Italy,Joseph Taylor,Art
810.43,2000-01-19,Notebook Professional,Reboot IT,Canada,William Wilson,Computers
516.33,2000-01-19,Video Game Controller,Innovate Unlimited,South Korea,Patricia Brown,Video Games
110.53,2000-01-19,Microwave Oven,Tech Pioneers,Germany,Michael Davis,Kitchen Appliances
933.91,2000-01-19,Robot Vacuum,Pinnacle Tech,Nigeria,Joseph Taylor,Home Appliances
155.11,2000-01-19,Robot Vacuum,Reboot IT,Brazil,Patricia Brown,Home Appliances
162.55,2000-01-19,Men's Sneakers,SysTech Ltd.,Italy,Linda Miller,Footwear
954.48,2000-01-19,Fitness Tracker,Nebula Innovations,USA,Sarah Moore,Wearables
535.98,2000-01-19,Desktop Beta,Future Gadgets,Japan,Sandra Anderson,Computers
221.12,2000-01-20,Decorative Throw Pillow,Ultra Tech,South Korea,Joseph Taylor,Home Decor
24.68,2000-01-20,Dumbbell Set,Elite Tech,Kenya,John Smith,Fitness Equipment
253.62,2000-01-20,Desktop Alpha,Infinity Solutions,France,Patricia Brown,Computers
969.59,2000-01-20,USB Keyboard,NextGen Innovators,Mexico,William Wilson,Computer Accessories
975.13,2000-01-21,Smartphone Beta,Pinnacle Tech,Brazil,Patricia Brown,Mobile Devices
25.1,2000-01-21,Robot Vacuum,Gadget Galaxy,France,Sandra Anderson,Home Appliances
179.36,2000-01-21,Dumbbell Set,NextGen Innovators,Nigeria,William Wilson,Fitness Equipment
898.29,2000-01-21,Sculpture,Nebula Innovations,Italy,Robert Johnson,Art
84.27,2000-01-21,Bluetooth Speaker,Elite Tech,China,John Smith,Audio Equipment
265.03,2000-01-21,Smart Watch,Reboot IT,USA,Robert Johnson,Wearables
141.01,2000-01-21,Sunglasses,Global Corp,Japan,Patricia Brown,Fashion Accessories
529.11,2000-01-21,Men's Sneakers,Gadget Galaxy,Egypt,Sandra Anderson,Footwear
953.4,2000-01-21,Biography Book,Ultra Tech,Brazil,Michael Davis,Books
504.7,2000-01-21,LED Desk Lamp,Pinnacle Tech,South Africa,Joseph Taylor,Lighting
4.83,2000-01-21,Smart Watch,Innovate Unlimited,South Africa,Sarah Moore,Wearables
915.72,2000-01-22,Desktop Alpha,NextGen Innovators,Canada,Patricia Brown,Computers
265.07,2000-01-22,Sculpture,Elite Tech,Canada,Michael Davis,Art
846.75,2000-01-22,Wall Art,Nebula Innovations,Germany,William Wilson,Home Decor
32.7,2000-01-22,Yoga Mat,Innovate Unlimited,Germany,John Smith,Fitness Equipment
82.27,2000-01-22,Sculpture,Ultra Tech,France,Laura Adams,Art
40.54,2000-01-22,Dumbbell Set,Elite Tech,Nigeria,Joseph Taylor,Fitness Equipment
771.49,2000-01-22,LED Desk Lamp,Pioneer Tech,Italy,Robert Johnson,Lighting
968.65,2000-01-22,Men's Sneakers,Infinity Solutions,Egypt,Sarah Moore,Footwear
669,2000-01-22,Biography Book,Pinnacle Tech,Brazil,Patricia Brown,Books
288.21,2000-01-22,Video Game Controller,Reboot IT,Germany,John Smith,Video Games
414.33,2000-01-22,Smartphone Beta,Innovate Unlimited,Nigeria,Patricia Brown,Mobile Devices
452.53,2000-01-22,Sculpture,Pioneer Tech,Brazil,Laura Adams,Art
75.37,2000-01-22,Electric Guitar,NextGen Innovators,USA,Michael Davis,Musical Instruments
506.34,2000-01-22,Cat Litter Box,Ultra Tech,Canada,William Wilson,Pet Supplies
973.83,2000-01-22,Dumbbell Set,Pioneer Tech,Nigeria,Robert Johnson,Fitness Equipment
808.11,2000-01-22,Tablet Alpha,Infinity Solutions,China,Joseph Taylor,Mobile Devices
164.32,2000-01-22,Notebook Professional,Tech Trends,Japan,William Wilson,Computers
238.88,2000-01-23,Virtual Reality Headset,Pioneer Tech,Japan,Robert Johnson,Electronics
283.28,2000-01-23,Stainless Steel Water Bottle,Reboot IT,South Korea,Laura Adams,Outdoor Gear
772.8,2000-01-23,Stainless Steel Water Bottle,Nebula Innovations,Nigeria,Joseph Taylor,Outdoor Gear
779.66,2000-01-23,Ergonomic Desk,Pinnacle Tech,Egypt,Laura Adams,Office Furniture
73.9,2000-01-23,Pet Bed,Pioneer Tech,South Africa,Joseph Taylor,Pet Supplies
974.21,2000-01-23,Desktop Beta,Pioneer Tech,India,Robert Johnson,Computers
879.91,2000-01-23,Pet Bed,Elite Tech,France,Sarah Moore,Pet Supplies
27.59,2000-01-23,Streaming Media Player,Pioneer Tech,South Africa,Patricia Brown,Home Electronics
814.01,2000-01-24,Smartphone Alpha,Reboot IT,Kenya,Linda Miller,Mobile Devices
878.41,2000-01-24,4K Television,SysTech Ltd.,South Korea,Sandra Anderson,Home Electronics
855.64,2000-01-24,Stainless Steel Water Bottle,Nebula Innovations,France,Sarah Moore,Outdoor Gear
691.23,2000-01-24,Stainless Steel Water Bottle,Pinnacle Tech,South Africa,Michael Davis,Outdoor Gear
224.64,2000-01-24,Monitor HD,Innovate Unlimited,France,Patricia Brown,Monitors
117.31,2000-01-24,Women's Sandals,Global Corp,Germany,Sarah Moore,Footwear
404.45,2000-01-24,Virtual Reality Headset,Tech Trends,Egypt,Linda Miller,Electronics
718.52,2000-01-24,Acoustic Piano,SysTech Ltd.,Italy,Linda Miller,Musical Instruments
926.89,2000-01-24,Wireless Mouse,Tech Pioneers,Canada,Michael Davis,Computer Accessories
372.25,2000-01-24,Sculpture,Gadget Galaxy,South Korea,Robert Johnson,Art
184.22,2000-01-24,Monitor HD,Global Corp,China,Sarah Moore,Monitors
422.79,2000-01-24,Fitness Tracker,Gadget Galaxy,Canada,John Smith,Wearables
559.87,2000-01-24,Yoga Mat,Elite Tech,France,Linda Miller,Fitness Equipment
131.5,2000-01-24,Tablet Alpha,Infinity Solutions,Canada,Laura Adams,Mobile Devices
826.14,2000-01-24,Sunglasses,NextGen Innovators,Canada,John Smith,Fashion Accessories
314.24,2000-01-24,Gaming Console,Pioneer Tech,USA,Michael Davis,Video Games
900.41,2000-01-24,Wall Art,Global Corp,Egypt,Sarah Moore,Home Decor
341.23,2000-01-24,Smartphone Beta,Nebula Innovations,Spain,Michael Davis,Mobile Devices
24.01,2000-01-24,USB Keyboard,Future Gadgets,France,Patricia Brown,Computer Accessories
30.3,2000-01-24,Robot Vacuum,Nebula Innovations,Spain,Patricia Brown,Home Appliances
817.55,2000-01-25,Electric Guitar,Future Gadgets,Mexico,Linda Miller,Musical Instruments
541.63,2000-01-25,Men's Sneakers,Innovate Unlimited,India,Robert Johnson,Footwear
580.67,2000-01-25,Video Game Controller,Pioneer Tech,Spain,Robert Johnson,Video Games
977.85,2000-01-25,Biography Book,Nebula Innovations,France,Laura Adams,Books
781.53,2000-01-25,Yoga Mat,NextGen Innovators,Japan,Linda Miller,Fitness Equipment
805.54,2000-01-25,Tablet Beta,Future Gadgets,Italy,Sandra Anderson,Mobile Devices
566.77,2000-01-26,Bluetooth Speaker,Innovate Unlimited,South Africa,Joseph Taylor,Audio Equipment
526.23,2000-01-26,Tablet Beta,Gadget Galaxy,South Africa,Michael Davis,Mobile Devices
915.96,2000-01-26,Notebook Professional,Pinnacle Tech,Kenya,John Smith,Computers
76.49,2000-01-26,4K Television,Infinity Solutions,Brazil,John Smith,Home Electronics
893.32,2000-01-26,USB Keyboard,Global Corp,Kenya,Michael Davis,Computer Accessories
328.8,2000-01-26,Electric Guitar,Reboot IT,Kenya,Joseph Taylor,Musical Instruments
984.9,2000-01-27,Tablet Beta,Pinnacle Tech,South Africa,Sandra Anderson,Mobile Devices
213.1,2000-01-27,USB Keyboard,Gadget Galaxy,China,Patricia Brown,Computer Accessories
441.15,2000-01-27,Monitor 4K,Pinnacle Tech,USA,Robert Johnson,Monitors
267.58,2000-01-27,Desktop Alpha,Infinity Solutions,Italy,Michael Davis,Computers
246.24,2000-01-27,Monitor HD,Reboot IT,South Korea,Patricia Brown,Monitors
460.02,2000-01-27,Tablet Alpha,Infinity Solutions,Spain,Laura Adams,Mobile Devices
758.81,2000-01-28,Decorative Throw Pillow,Ultra Tech,Spain,Linda Miller,Home Decor
467.85,2000-01-28,Espresso Machine,Innovate Unlimited,Brazil,Joseph Taylor,Kitchen Appliances
14.55,2000-01-29,Electric Guitar,Reboot IT,South Korea,John Smith,Musical Instruments
710.84,2000-01-29,Wireless Mouse,Gadget Galaxy,Germany,Linda Miller,Computer Accessories
228.92,2000-01-29,Camping Tent,Gadget Galaxy,South Korea,Laura Adams,Outdoor Gear
5.72,2000-01-29,Wristwatch,Elite Tech,USA,Linda Miller,Fashion Accessories
5.58,2000-01-29,Ergonomic Desk,Future Gadgets,Germany,Robert Johnson,Office Furniture
405.3,2000-01-29,Ergonomic Desk,NextGen Innovators,Brazil,Sarah Moore,Office Furniture
956.17,2000-01-29,Wireless Mouse,Innovate Unlimited,China,Sarah Moore,Computer Accessories
492.75,2000-01-29,Robot Vacuum,Pinnacle Tech,Spain,Sandra Anderson,Home Appliances
811.4,2000-01-29,Smart Watch,NextGen Innovators,Kenya,Michael Davis,Wearables
487.94,2000-01-30,Stainless Steel Water Bottle,Elite Tech,USA,Joseph Taylor,Outdoor Gear
285.51,2000-01-31,Streaming Media Player,Global Corp,France,Sarah Moore,Home Electronics
17.37,2000-01-31,Leather Office Chair,Reboot IT,Canada,Michael Davis,Office Furniture
549.6,2000-01-31,Solid State Drive,Pinnacle Tech,Japan,John Smith,Storage Devices
249.62,2000-01-31,Drone with Camera,SysTech Ltd.,Germany,Joseph Taylor,Electronics
665.26,2000-01-31,Pet Bed,NextGen Innovators,USA,Joseph Taylor,Pet Supplies
174,2000-01-31,Women's Sandals,Ultra Tech,Italy,Sarah Moore,Footwear
892.74,2000-02-01,Men's Sneakers,Global Corp,South Korea,Laura Adams,Footwear
758.9,2000-02-02,Dumbbell Set,Tech Pioneers,Brazil,Sandra Anderson,Fitness Equipment
610.43,2000-02-02,Virtual Reality Headset,Innovate Unlimited,India,Patricia Brown,Electronics
196.39,2000-02-02,Smartphone Alpha,Future Gadgets,South Korea,Michael Davis,Mobile Devices
775.47,2000-02-02,Smartphone Alpha,Nebula Innovations,Germany,Michael Davis,Mobile Devices
213.86,2000-02-02,Smartphone Alpha,Pinnacle Tech,Japan,Robert Johnson,Mobile Devices
607.23,2000-02-02,Monitor 4K,Elite Tech,France,Joseph Taylor,Monitors
694.55,2000-02-02,Camping Tent,Innovate Unlimited,Egypt,Laura Adams,Outdoor Gear
198.58,2000-02-03,Smartphone Beta,Infinity Solutions,USA,Robert Johnson,Mobile Devices
362.47,2000-02-03,Notebook Professional,NextGen Innovators,Kenya,Michael Davis,Computers
608.83,2000-02-04,Children's Backpack,Innovate Unlimited,France,Linda Miller,School Supplies
576.89,2000-02-04,Camping Tent,Infinity Solutions,South Africa,Robert Johnson,Outdoor Gear
823.3,2000-02-05,Noise Cancelling Headphones,Ultra Tech,Mexico,Patricia Brown,Audio Equipment
164.54,2000-02-05,Notebook Professional,Ultra Tech,India,Michael Davis,Computers
172.13,2000-02-05,USB Keyboard,Tech Pioneers,USA,Linda Miller,Computer Accessories
363.52,2000-02-05,Ergonomic Desk,Ultra Tech,France,John Smith,Office Furniture
734.61,2000-02-05,4K Television,Reboot IT,Italy,Sandra Anderson,Home Electronics
213.85,2000-02-05,Science Fiction Novel,Pioneer Tech,South Korea,Laura Adams,Books
749.8,2000-02-05,Microwave Oven,Infinity Solutions,China,Laura Adams,Kitchen Appliances
69.88,2000-02-05,Sculpture,SysTech Ltd.,Germany,William Wilson,Art
894.68,2000-02-05,Landscape Painting,Gadget Galaxy,South Africa,Sandra Anderson,Art
595.23,2000-02-05,Microwave Oven,Ultra Tech,Germany,Linda Miller,Kitchen Appliances
396.59,2000-02-05,Bluetooth Speaker,Global Corp,Kenya,Robert Johnson,Audio Equipment
727.06,2000-02-05,Espresso Machine,Ultra Tech,Italy,John Smith,Kitchen Appliances
175.87,2000-02-06,Electric Guitar,NextGen Innovators,Italy,Sandra Anderson,Musical Instruments
559.65,2000-02-06,Ergonomic Desk,Ultra Tech,South Korea,Robert Johnson,Office Furniture
848.89,2000-02-06,Notebook Basic,Pioneer Tech,USA,Patricia Brown,Computers
729.71,2000-02-06,Robot Vacuum,Reboot IT,Italy,Sarah Moore,Home Appliances
66.18,2000-02-06,Science Fiction Novel,Innovate Unlimited,Italy,John Smith,Books
774.42,2000-02-06,Tablet Alpha,Pinnacle Tech,France,Joseph Taylor,Mobile Devices
685.92,2000-02-07,Acoustic Piano,Innovate Unlimited,USA,Michael Davis,Musical Instruments
365.1,2000-02-07,Biography Book,Ultra Tech,Italy,Sandra Anderson,Books
288.2,2000-02-08,Children's Backpack,Reboot IT,China,Sandra Anderson,School Supplies
57.07,2000-02-08,Pet Bed,Pinnacle Tech,Mexico,John Smith,Pet Supplies
431.68,2000-02-08,LED Desk Lamp,Elite Tech,South Africa,Sarah Moore,Lighting
776.86,2000-02-08,Robot Vacuum,Pinnacle Tech,Nigeria,Michael Davis,Home Appliances
473.83,2000-02-09,Espresso Machine,Global Corp,Kenya,William Wilson,Kitchen Appliances
425.74,2000-02-09,Video Game Controller,Gadget Galaxy,Spain,Michael Davis,Video Games
375.43,2000-02-10,Smartphone Beta,Reboot IT,Egypt,Laura Adams,Mobile Devices
668.86,2000-02-11,USB Keyboard,Nebula Innovations,Mexico,Robert Johnson,Computer Accessories
442.83,2000-02-11,Espresso Machine,SysTech Ltd.,South Korea,Linda Miller,Kitchen Appliances
394.31,2000-02-11,Acoustic Piano,Global Corp,Mexico,Robert Johnson,Musical Instruments
608.42,2000-02-12,Video Game Controller,Pioneer Tech,India,John Smith,Video Games
51.26,2000-02-12,Yoga Mat,Innovate Unlimited,South Korea,William Wilson,Fitness Equipment
341.91,2000-02-13,Biography Book,Elite Tech,Italy,Sandra Anderson,Books
935.47,2000-02-13,External Hard Drive,Future Gadgets,USA,Sarah Moore,Storage Devices
331.42,2000-02-13,Landscape Painting,Gadget Galaxy,South Korea,William Wilson,Art
260.28,2000-02-13,Robot Vacuum,Gadget Galaxy,Brazil,Joseph Taylor,Home Appliances
818.12,2000-02-14,Biography Book,Reboot IT,South Korea,Robert Johnson,Books
447.09,2000-02-15,Notebook Professional,Global Corp,Germany,John Smith,Computers
119.03,2000-02-15,Fitness Tracker,Tech Pioneers,France,John Smith,Wearables
675.8,2000-02-15,Monitor HD,Reboot IT,Brazil,Sandra Anderson,Monitors
376.14,2000-02-16,Streaming Media Player,Innovate Unlimited,Canada,Laura Adams,Home Electronics
892.05,2000-02-16,Biography Book,Reboot IT,Kenya,William Wilson,Books
620.41,2000-02-16,Hiking Boots,Innovate Unlimited,Nigeria,Sandra Anderson,Outdoor Gear
504.36,2000-02-16,Notebook Basic,Pioneer Tech,China,Laura Adams,Computers
528.93,2000-02-17,Desktop Alpha,Elite Tech,Japan,Michael Davis,Computers
47.33,2000-02-18,Wristwatch,Pioneer Tech,USA,Patricia Brown,Fashion Accessories
738.83,2000-02-18,Monitor HD,Global Corp,Italy,Laura Adams,Monitors
520.41,2000-02-18,Hiking Boots,Tech Pioneers,USA,Sandra Anderson,Outdoor Gear
872.32,2000-02-18,Leather Office Chair,Tech Trends,India,Patricia Brown,Office Furniture
566.99,2000-02-18,Wristwatch,Reboot IT,Mexico,Robert Johnson,Fashion Accessories
413.16,2000-02-18,Science Fiction Novel,Future Gadgets,Mexico,Sandra Anderson,Books
467.18,2000-02-18,Notebook Professional,Tech Pioneers,USA,Patricia Brown,Computers
768.99,2000-02-19,Sunglasses,Future Gadgets,Spain,William Wilson,Fashion Accessories
530.17,2000-02-19,Virtual Reality Headset,Pinnacle Tech,South Korea,Laura Adams,Electronics
768.26,2000-02-19,Noise Cancelling Headphones,Global Corp,Mexico,Joseph Taylor,Audio Equipment
29.06,2000-02-19,Desktop Beta,SysTech Ltd.,Canada,Sandra Anderson,Computers
461.67,2000-02-19,Robot Vacuum,Pinnacle Tech,Italy,Laura Adams,Home Appliances
279.44,2000-02-19,Ergonomic Desk,Nebula Innovations,Spain,Patricia Brown,Office Furniture
601.66,2000-02-19,Streaming Media Player,Tech Pioneers,Spain,William Wilson,Home Electronics
307.48,2000-02-19,Sunglasses,Global Corp,Nigeria,John Smith,Fashion Accessories
172.87,2000-02-20,USB Keyboard,Global Corp,Spain,Linda Miller,Computer Accessories
498.98,2000-02-20,Video Game Controller,Ultra Tech,Kenya,Robert Johnson,Video Games
915.83,2000-02-20,Ergonomic Desk,Future Gadgets,Mexico,Linda Miller,Office Furniture
306.56,2000-02-20,Bluetooth Speaker,Infinity Solutions,China,John Smith,Audio Equipment
559.74,2000-02-20,USB Keyboard,Reboot IT,Mexico,Laura Adams,Computer Accessories
60.32,2000-02-20,Decorative Throw Pillow,Pioneer Tech,Brazil,Sandra Anderson,Home Decor
821.71,2000-02-21,Sculpture,Reboot IT,Spain,John Smith,Art
40.25,2000-02-21,Monitor 4K,NextGen Innovators,India,Laura Adams,Monitors
942.35,2000-02-21,Drone with Camera,Infinity Solutions,India,John Smith,Electronics
377.24,2000-02-21,Video Game Controller,Tech Pioneers,Nigeria,Sarah Moore,Video Games
982.48,2000-02-21,4K Television,Pioneer Tech,Nigeria,Sarah Moore,Home Electronics
652.42,2000-02-21,Bluetooth Speaker,Pinnacle Tech,USA,Joseph Taylor,Audio Equipment
560.68,2000-02-22,Smartphone Alpha,Tech Pioneers,Kenya,Linda Miller,Mobile Devices
110.44,2000-02-22,Decorative Throw Pillow,Global Corp,South Korea,Linda Miller,Home Decor
802.78,2000-02-22,Dumbbell Set,Global Corp,Italy,Linda Miller,Fitness Equipment
